Region,Asset Type, Site Name , Owner , Technology Type , Fuel Type , DUID ,Number of Units,Lower Nameplate Capacity (MW),Upper Nameplate Capacity (MW),Aggregated Lower Nameplate Capacity (MW),Aggregated Upper Nameplate Capacity (MW),Nameplate Capacity (MW),Storage Capacity (MWh),Unit Status,Dispatch Type,Full Commercial Use Date,Expected Closure Year,Closure Date,Status Bucket Summary,Fuel Bucket Summary,SurveyId, AEMO KCI Id , Survey Last Requested ,Survey Version DateTime
 VIC1 ,Existing Plant,Loy Yang A Power Station,AGL Loy Yang Marketing Pty Ltd, Turbine - Steam Sub Critical ,Fossil - Brown Coal,LYA3,1, -   ,560, -   ,560,560,, In Service ,S,,2035,,Existing less Announced Withdrawal, Coal ,1124,,Feb-24,7/03/2024
 VIC1 ,Existing Plant,Loy Yang A Power Station,AGL Loy Yang Marketing Pty Ltd, Turbine - Steam Sub Critical ,Fossil - Brown Coal,LYA4,1, -   ,560, -   ,560,560,, In Service ,S,,2035,,Existing less Announced Withdrawal, Coal ,1124,,Feb-24,7/03/2024
 VIC1 ,Existing Plant,Loy Yang B,Gippsland Power Pty Ltd ABN 30 077 851 079 / LYB Ventures Australia Pty Ltd ABN 57 055 984 499 / Traralgon Power Pty Ltd ABN 64 056 292 623 / Latrobe Power Pty Ltd ABN 42 055 983 563 / LYB Australia Limited ABN 87 055 563 785, Turbine - Steam Sub Critical ,Fossil - Brown Coal,LOYYB1,1,,580,,580,580,, In Service ,S,,2047,,Existing less Announced Withdrawal, Coal ,1125,,Feb-24,8/03/2024
 VIC1 ,Existing Plant,Loy Yang B,Gippsland Power Pty Ltd ABN 30 077 851 079 / LYB Ventures Australia Pty Ltd ABN 57 055 984 499 / Traralgon Power Pty Ltd ABN 64 056 292 623 / Latrobe Power Pty Ltd ABN 42 055 983 563 / LYB Australia Limited ABN 87 055 563 785, Turbine - Steam Sub Critical ,Fossil - Brown Coal,LOYYB2,1,,580,,580,580,, In Service ,S,,2047,,Existing less Announced Withdrawal, Coal ,1125,,Feb-24,8/03/2024
 VIC1 ,Project,Loy Yang B Power Station - BESS Stage 1 - KCI,Alinta Energy Clean Energy Development Pty Ltd, Storage - Battery ,Other - Other,,1,, -   ,, -   ,,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2708,V00152,,28/03/2024
 NSW1 ,Existing Plant,Lucas Heights 2,EDL LFG NSW Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas,LUCAS2S2,15,,1.15,,17.25,17.25,, In Service ,NS,,2025,,Existing less Announced Withdrawal, Biomass ,1127,,Mar-22,30/09/2022
 NSW1 ,Existing Plant,Lucas Heights I,EDL LFG NSW Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas,,3,,1.03,,3.09,3.09,, In Service ,NS,,2035,,Existing less Announced Withdrawal, Biomass ,1126,,Mar-22,30/09/2022
 NSW1 ,Existing Plant,Lucas Heights I,EDL LFG NSW Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas,,2,,1.15,,2.3,2.3,, In Service ,NS,,2035,,Existing less Announced Withdrawal, Biomass ,1126,,Mar-22,30/09/2022
 VIC1 ,Project,LYA BESS,LOYYANGA, Storage - Battery ,Other - Other,,1,,200,,200,200,800, Publicly Announced ,S,,2050,,Proposed, Battery Storage ,1867,V00038,May-23,19/03/2024
 VIC1 ,Existing Plant,Macarthur Wind Farm,Macarthur Wind Farm Pty Ltd and Meridian Wind Macarthur Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,MACARTH1,140,,3,,420,420,, In Service ,SS,,2038,,Existing less Announced Withdrawal, Wind ,1128,,Feb-24,7/03/2024
 QLD1 ,Project,MacIntyre Wind Farm,Macintyre Windfarm Pty Ltd and Arc Energy Macintyre Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,162,5.7,5.7,923.4,923.4,923.4,, Committed* ,SS,Dec-24,2054,,Committed, Wind ,1332,Q00006,May-24,2/06/2024
 TAS1 ,Existing Plant,Mackintosh,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water,MACKNTSH,1,79.9,79.9,79.9,79.9,79.9,, In Service ,S,,2100,,Existing less Announced Withdrawal, Water ,1130,,Feb-24,8/03/2024
 QLD1 ,Existing Plant,Macknade Mill,Wilmar Sugar Australia LImited, Turbine - Steam Sub Critical ,Renewable Biomass or Waste - Bagasse,,1,,3,,3,3,, In Service ,NS,,2035,,Existing less Announced Withdrawal, Biomass ,1131,,Mar-22,20/03/2023
 QLD1 ,Existing Plant,Macknade Mill,Wilmar Sugar Australia LImited, Turbine - Steam Sub Critical ,Renewable Biomass or Waste - Bagasse,,1,,5,,5,5,, In Service ,NS,,2035,,Existing less Announced Withdrawal, Biomass ,1131,,Mar-22,20/03/2023
 QLD1 ,Project,Madeline Downs BESS,AGL Energy Limited, Storage - Battery ,Other - Other,,1,150,150,150,150,150,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2559,Q00111,Jan-24,4/01/2024
 NSW1 ,Project,Maison Dieu Solar Farm,terrainsolar_NR, Solar PV - Dual axis tracking ,Solar - Solar,,22,3.4,3.7,74.8,81.4, 74.80 - 81.40 ,, Publicly Announced ,SS,,,,Proposed, Solar ,2691,,,5/06/2024
 QLD1 ,Project,Majors Creek Energy Storage System - KCI,Edify Energy Pty Ltd, Storage - Battery ,Other - Other,,1,,500,,500,500,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2765,Q00168,,
 NSW1 ,Project,Mallee Wind Farm,Mallee Wind PTY LTD, Wind Turbine - Onshore ,Wind - Wind,,129,5,6.6,645,851.4, 645.00 - 851.40 ,, Publicly Announced ,SS,Jan-29,,,Proposed, Wind ,2046,,May-24,4/06/2024
 NSW1 ,Project,Mallee Wind Farm,Mallee Wind PTY LTD, Storage - Battery ,Wind - Wind,,1,,300,,300,300,600, Publicly Announced ,S,Sep-27,,,Proposed, Battery Storage ,2046,,May-24,4/06/2024
 NSW1 ,Project,Mangoplah BESS - KCI,Samsung C&T Renewable Energy Australia Pty Ltd., Storage - Battery ,Other - Other,,33,,3.8,,125.4,125.4,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2766,N00180,,
 NSW1 ,Existing Plant,Manildra Solar Farm,Manildra Prop Pty Ltd as trustee for the Manildra Asset Trust, Solar PV - Single axis tracking ,Solar - Solar,MANSLR1,20,2.5,2.5,50,50,50,, In Service ,SS,Dec-18,2048,,Existing less Announced Withdrawal, Solar ,1280,,Feb-24,5/06/2024
 SA1 ,Existing Plant,Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),South Australian Water Corporation, Solar PV - Single axis tracking ,Solar - Solar,MAPS2PV1,6,,2.8,,16.8,16.8,, In Service ,SS,May-22,2041,,Existing less Announced Withdrawal, Solar ,1847,S00010,Feb-24,18/03/2024
 SA1 ,Existing Plant,Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),South Australian Water Corporation, Solar PV - Single axis tracking ,Solar - Solar,MAPS3PV1,6,,2.06,,12.36,12.36,, In Service ,SS,Jan-23,2041,,Existing less Announced Withdrawal, Solar ,2010,S00011,Feb-24,18/03/2024
 SA1 ,Project,Mannum BESS,Epic Energy South Australia Pty Ltd, Storage - Battery ,Other - Other,,1,,100,,100,100,200, Anticipated ,S,Sep-25,,,Anticipated, Battery Storage ,2256,S00016,May-24,7/06/2024
 SA1 ,Existing Plant,Mannum Solar Farm,Mannum Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1, -   ,4.95, -   ,4.95,4.95,, In Service ,NS,Dec-19,2054,,Existing less Announced Withdrawal, Solar ,1722,,Dec-22,8/12/2022
 SA1 ,Existing Plant,Mannum Solar Farm 2,Mannum Stage 2 SubCo Pty Ltd as trustee for the Mannum Stage 2 Unit Trust, Solar PV - Single axis tracking ,Solar - Solar,MANSF2,11,,2.73,,29.99,29.99,, In Commissioning ,SS,Aug-24,2058,,Existing less Announced Withdrawal, Solar ,2410,,May-24,3/06/2024
 VIC1 ,Project,Mansfield Solar Farm - Solar - KCI, Biscon Energy Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1,350,350,350,350,350,, Publicly Announced ,TBA,,,,Proposed, Solar ,2360,V00036,Sep-23,
 VIC1 ,Project,Mansfield Solar Farm - Storage - KCI, Biscon Energy Australia Pty Ltd, Storage - Battery ,Other - Other,,1,,,,,,0, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2359,V00036,Sep-23,
 QLD1 ,Project,Maranbah Solar Farm,EEW ECO ENERGY WORLD PTY LTD, Solar PV - Single axis tracking ,Solar - Solar,,1,,160,,160,160,, Publicly Announced ,TBA,,,,Proposed, Solar ,1914,,,11/03/2024
 SA1 ,Project,Markaranka Solar and Storage,Monash Energy Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,,125,,125,125,, Publicly Announced ,TBA,,,,Proposed, Solar ,2746,,,19/06/2024
 SA1 ,Project,Markaranka Solar and Storage,Monash Energy Pty Ltd, Storage - Battery ,Other - Other,,1,,375,,375,375,375, Publicly Announced ,S,,,,Proposed, Battery Storage ,2746,,,19/06/2024
 VIC1 ,Existing Plant,Maroona Wind Farm,Myamba Developments Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,2,3.6,3.6,7.2,7.2,7.2,, In Service ,NS,,,,Existing less Announced Withdrawal, Wind ,1468,,Mar-22,10/04/2024
 NSW1 ,Project,Marulan - OCGT/CCGT,EnergyAustralia Marulan Pty Ltd, Turbine - Other ,Fossil - Natural Gas Pipeline,,1,250,350,250,350, 250.00 - 350.00 ,, Publicly Announced ,S,,,,Proposed, Gas other ,1132,,May-23,6/03/2024
 NSW1 ,Project,Marulan - OCGT/CCGT,EnergyAustralia Marulan Pty Ltd, Turbine - Other ,Fossil - Natural Gas Pipeline,,1,250,450,250,450, 250.00 - 450.00 ,, Publicly Announced ,S,,,,Proposed, Gas other ,1132,,May-23,6/03/2024
 NSW1 ,Project,Marulan Solar Farm,terrainsolar_NR, Solar PV - Dual axis tracking ,Solar - Solar,,56,3.4,3.7,190.4,207.2, 190.40 - 207.20 ,, Publicly Announced ,SS,Dec-25,,,Proposed, Solar ,2690,,May-24,5/06/2024
 QLD1 ,Existing Plant,Maryborough Mill,MSF Sugar, Turbine - Steam Super Critical ,Other - Other,,2,,2,,4,4,, In Service ,NS,,,,Existing less Announced Withdrawal, Other ,1308,,Sep-22,30/03/2023
 QLD1 ,Existing Plant,Maryborough Mill,MSF Sugar, Turbine - Steam Super Critical ,Other - Other,,1,,3.5,,3.5,3.5,, In Service ,NS,,,,Existing less Announced Withdrawal, Other ,1308,,Sep-22,30/03/2023
 QLD1 ,Existing Plant,Maryrorough Solar Farm,Maryrorough Solar Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,MARYRSF1,1,34.5,34.5,34.5,34.5,34.5,, In Service ,SS,Mar-21,2048,,Existing less Announced Withdrawal, Solar ,1689,,Feb-24,15/03/2024
 NSW1 ,Project,Maryvale Solar and Energy Storage System,Maryvale Solar Farm Pty Ltd , Storage - Battery ,Other - Other,,61,,2.82,,172.02,172.02,5.73, Anticipated ,S,Feb-27,2062,,Anticipated, Battery Storage ,1595,,May-24,5/07/2024
 NSW1 ,Project,Maryvale Solar and Energy Storage System,Maryvale Solar Farm Pty Ltd , Solar PV - Single axis tracking ,Solar - Solar,,61, -   ,2.82, -   ,172.02,172.02,, Anticipated ,S,Feb-27,2062,,Anticipated, Solar ,1595,,May-24,5/07/2024
 QLD1 ,Project,Matthew Flinders College Senior,Matthew Flinders Anglican College, Solar PV - Fixed ,Solar - Solar,,6,0.03,0.03,0.2,0.2,0.2,, Committed* ,NS,Sep-18,,,Committed, Solar ,1551,,May-23,9/06/2023
 NSW1 ,Project,Maules Creek BESS,FRV Services Australia Pty Ltd, Storage - Battery ,Other - Other,,14,4,4.5,56,63, 56.00 - 63.00 ,120, Publicly Announced ,S,,,,Proposed, Battery Storage ,2531,N00121,Sep-23,21/02/2024
 NSW1 ,Project,Maules Creek Solar Farm,FRV Services Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar,,27,3.43,4.5,92.61,121.5, 92.61 - 121.50 ,, Publicly Announced ,SS,,,,Proposed, Solar ,2530,N00121,Sep-23,6/03/2024
 NSW1 ,Project,Maxwell Downs Bess - KCI,X-Elio Australia Pty Ltd, Storage - Battery ,Other - Other,,1,,300,,300,300,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2767,N00096,,
 NSW1 ,Project,Maxwell Downs Solar Farm - KCI,X-Elio Holbrook Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,104,104,104,104,104,, Publicly Announced ,SS,,,,Proposed, Solar ,2368,N00096,May-23,7/06/2023
 NSW1 ,Project,Maxwell Solar Farm,Malabar Coal, Solar PV - Single axis tracking ,Solar - Solar,,1,,25,,25,25,, Publicly Announced ,TBA,,,,Proposed, Solar ,1707,,Jan-24,
 NSW1 ,Project,McMahons Reef Solar Farm,Enerparc Australia Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,28,4.4,4.4,123.2,123.2,123.2,, Publicly Announced ,SS,,,,Proposed, Solar ,2475,N00110,Sep-23,19/03/2024
 QLD1 ,Existing Plant,McNamee Partners,McNamee Partners Pty Ltd, Solar PV - Fixed ,Solar - Solar,,8,0.03,0.03,0.26,0.26,0.26,0, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,1510,,Sep-22,1/10/2022
 TAS1 ,Existing Plant,McRobies Gully Renewable Energy Facility,LMS_NR, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas,,1,,1.06,,1.06,1.06,, In Service ,NS,,2042,,Existing less Announced Withdrawal, Biomass ,2161,,,30/09/2022
 VIC1 ,Project,Meadow Creek Solar Farm - KCI, Clean Technologies Partners, Solar PV - Fixed ,Solar - Solar,,1,180,180,180,180,180,, Publicly Announced ,TBA,,,,Proposed, Solar ,2361,V00057,Sep-23,
 TAS1 ,Existing Plant,Meadowbank,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water,MEADOWBK,1,40,40,40,40,40,, In Service ,S,,2100,,Existing less Announced Withdrawal, Water ,1133,,Feb-24,8/03/2024
 VIC1 ,Project,Melbourne Grid Battery - KCI,Lumea, Storage - Battery ,Other - Other,,1,, -   ,, -   ,,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2711,V00114,,28/03/2024
 VIC1 ,Project,Melbourne Renewable Energy Complex,Elgin Energy Pty Ltd, Storage - Battery ,Other - Other,,1,,250,,250,250,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2706,V00060,,
 VIC1 ,Project,Melbourne Renewable Energy Hub - Side A,MREH Pty Ltd as trustee for MREH Asset Trust, Storage - Battery ,Other - Other,,1,600,600,600,600,600,1600, Committed ,S,Nov-25,2050,,Committed, Battery Storage ,1859,V00001,May-24,31/05/2024
 VIC1 ,Project,Melbourne Renewable Energy Hub - Side B,MREH Pty Ltd as trustee for MREH Asset Trust, Storage - Battery ,Other - Other,,1,600,600,600,600,600,2400, Publicly Announced ,S,Dec-28,,,Proposed, Battery Storage ,2617,V00115,,5/03/2024
 VIC1 ,Project,Melbourne Solar Farm - KCI, Emergent Technologies, Solar PV - Fixed ,Solar - Solar,,1,350,350,350,350,350,, Publicly Announced ,TBA,,,,Proposed, Solar ,2363,V00024,Sep-23,
 VIC1 ,Project,Meredith Wind Farm - KCI, Acciona Energy Global Australia, Wind Turbine - Onshore ,Wind - Wind,,53,5.7,5.7,302.1,302.1,302.1,, Publicly Announced ,SS,,,,Proposed, Wind ,2365,V00020,Apr-23,18/03/2024
 NSW1 ,Project,Merino Solar Farm,Merino Solar Farm Pty Ltd as trustee for Merino Solar Farm Trust, Storage - Battery ,Other - Other,,96,3.22,3.22,309.12,309.12,309.12,0, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2211,N00084,Sep-23,
 NSW1 ,Project,Merino Solar Farm,Merino Solar Farm Pty Ltd as trustee for Merino Solar Farm Trust, Solar PV - Fixed ,Solar - Solar,,100,3.38,3.38,338,338,338,, Publicly Announced ,TBA,,,,Proposed, Solar ,2211,N00084,Sep-23,
 NSW1 ,Project,Merriwa BESS 1,GMR Energy , Storage - Battery ,Other - Other,,1,,"1,000.00",,"1,000.00","1,000.00",4000, Publicly Announced ,S,,,,Proposed, Battery Storage ,2194,N00072,Jan-24,13/03/2024
 NSW1 ,Existing Plant,Metz Solar Farm,Metz ProjectCo Pty Ltd as trustee for Metz ProjectCo Trust , Solar PV - Single axis tracking ,Solar - Solar,METZSF1,54, -   ,2.5, -   ,135,135,, In Service ,SS,Apr-23,2052,,Existing less Announced Withdrawal, Solar ,1628,,May-24,20/02/2024
 QLD1 ,Project,Mica Creek Solar Farm,APA Group, Solar PV - Single axis tracking ,Solar - Solar,,1,,88,,88,88,, Publicly Announced ,SS,,,,Proposed, Solar ,2239,,Jan-24,
 QLD1 ,Project,Middlebrook Solar Farm,Middlebrook Solar Farm Pty Ltd as trustee for MSF Project Trust, Solar PV - Single axis tracking ,Solar - Solar,,94,,3.4,,319.98,319.98,, Publicly Announced ,SS,Dec-27,,,Proposed, Solar ,2430,,May-23,6/03/2024
 QLD1 ,Project,Middlebrook Solar Farm,Middlebrook Solar Farm Pty Ltd as trustee for MSF Project Trust, Storage - Battery ,Solar - Solar,,94,,2.98,,279.93,279.93,560, Publicly Announced ,S,Dec-27,,,Proposed, Battery Storage ,2430,,May-23,6/03/2024
 QLD1 ,Existing Plant,Middlemount Solar Farm,Capricorn SF No1 Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,MIDDLSF1,1,26,26,26,26,26,, In Service ,SS,Jul-21,2050,,Existing less Announced Withdrawal, Solar ,1537,,Feb-24,8/03/2024
 VIC1 ,Existing Plant,Midland Highway Orrvale,TBA, Solar PV - Fixed ,Solar - Solar,,1,,0.51,,0.51,0.51,, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,2090,,,
 TAS1 ,Existing Plant,Midlands Hydro,TBA, Hydro - Dam ,Hydro - Water,,1,,6,,6,6,, In Service ,NS,,,,Existing less Announced Withdrawal, Water ,2091,,,
 VIC1 ,Project,Mildura Power Station,Ceramet, Solar PV - Single axis tracking ,Solar - Solar,,1,9.6,9.6,9.6,9.6,9.6,, Publicly Announced ,SS,,,,Proposed, Solar ,1430,,Sep-23,
 QLD1 ,Project,Miles BESS Project,TBSOL, Storage - Battery ,Other - Other,,1,,500,,500,500,1000, Publicly Announced ,S,,,,Proposed, Battery Storage ,2439,Q00093,May-23,19/03/2024
 QLD1 ,Project,Miles Solar Project,Vena Energy, Solar PV - Fixed ,Solar - Solar,,1,500,500,500,500,500,, Publicly Announced ,SS,,,,Proposed, Solar ,1576,Q00090,Apr-23,19/03/2024
 QLD1 ,Project,Millmerran BESS - Storage,Millmerran Power Partners, Storage - Battery ,Other - Other,,1,200,200,200,200,200,400, Publicly Announced ,S,,,,Proposed, Battery Storage ,2385,Q00061,Apr-23,19/03/2024
 QLD1 ,Existing Plant,Millmerran Power Plant,Millmerran Power Partners, Turbine - Steam Super Critical ,Fossil - Black Coal,MPP_1,1,,426,,426,426,, In Service ,S,,2051,,Existing less Announced Withdrawal, Coal ,1134,,Feb-24,7/03/2024
 QLD1 ,Existing Plant,Millmerran Power Plant,Millmerran Power Partners, Turbine - Steam Super Critical ,Fossil - Black Coal,MPP_2,1,,426,,426,426,, In Service ,S,,2051,,Existing less Announced Withdrawal, Coal ,1134,,Feb-24,7/03/2024
 QLD1 ,Project,Millmerran Wind Farm,Millmerran Power Partners, Wind Turbine - Onshore ,Wind - Wind,,1,400,400,400,400,400,, Publicly Announced ,SS,,,,Proposed, Wind ,2384,Q00061,Apr-23,19/03/2024
 SA1 ,Existing Plant,Mintaro GT,Synergen Power Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,MINTARO,1,,90,,90,90,, In Service ,S,,2030,,Existing less Announced Withdrawal, OCGT ,1135,,Feb-24,6/03/2024
 QLD1 ,Project,Miriam Vale Renewable Energy Hub,Private Energy Partners, Storage - Battery ,Other - Other,,1,400,400,400,400,400,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2606,Q00125,,
 NSW1 ,Project,MNC000116 - Dubbo Firming Power Station,Squadron Energy Services Pty Ltd, Other - Other ,Fossil - Natural Gas,,1, -   ,57, -   ,57,57,, Publicly Announced ,S,,,,Proposed, Gas other ,2579,,May-24,27/05/2024
 QLD1 ,Project,Moah Creek Solar Farm,RES Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1,390,390,390,390,390,, Publicly Announced ,SS,,,,Proposed, Solar ,2668,Q00138,,
 QLD1 ,Project,Moah Creek Wind Farm, RES Australia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,60,6,6,360,360,360,, Publicly Announced ,SS,,,,Proposed, Wind ,2253,Q00040,Sep-23,26/09/2023
 NSW1 ,Project,Moama Solar Farm,Moama Propertyco Pty Ltd as trustee for the Moama Property Trust, Solar PV - Single axis tracking ,Solar - Solar,,6,6,6,36.01,36.01,36.01,, Publicly Announced ,SS,,,,Proposed, Solar ,1527,,Jan-24,5/06/2024
 NSW1 ,Project,Moama Solar Farm,Moama Propertyco Pty Ltd as trustee for the Moama Property Trust, Solar PV - Single axis tracking ,Solar - Solar,,2,18.01,18.01,36.01,36.01,36.01,, Publicly Announced ,SS,,,,Proposed, Solar ,1527,,Jan-24,5/06/2024
 SA1 ,Project,Mobilong BESS,Akaysha Energy, Storage - Battery ,Other - Other,,40, -   ,4.63, -   ,185.2,185.2,355, Publicly Announced ,S,,,,Proposed, Battery Storage ,2552,S00043,Sep-23,31/05/2024
 VIC1 ,Project,Mokoan Solar Farm,Lightsource Australia SPV 1 Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,,46,,46,46,, Publicly Announced ,SS,,,,Proposed, Solar ,1999,,Jan-24,
 NSW1 ,Existing Plant,Molong Solar Farm,Molong Operations co Pty Ltd ATF Molong Operations Trust, Solar PV - Single axis tracking ,Solar - Solar,MOLNGSF1,22,1.47,1.64,32.34,36.08,36.08,, In Service ,SS,Feb-21,2045,,Existing less Announced Withdrawal, Solar ,1641,,Feb-24,8/03/2024
 NSW1 ,Project,Monaro Solar Farm - KCI, Terrain Solar Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1,70,70,70,70,70,, Publicly Announced ,SS,,,,Proposed, Solar ,2182,N00036,Jan-24,22/01/2024
 SA1 ,Project,Monash Solar Farm - KCI, 1265 Warnecke Rd Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1,100,100,100,100,100,, Publicly Announced ,TBA,,,,Proposed, Solar ,2366,S00001,Sep-23,
 VIC1 ,Project,Moonah Solar Farm - KCI, Venn Energy Pty Ltd / Moonah Solar Project Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,42,,4.2,,176.4,176.4,, Publicly Announced ,SS,,2058,,Proposed, Solar ,2364,V00056,May-24,7/06/2024
 QLD1 ,Project,Moonlight Range Wind Farm,Brookfield, Wind Turbine - Onshore ,Wind - Wind,,1,,400,,400,400,, Publicly Announced ,SS,,,,Proposed, Wind ,2465,Q00106,Jan-24,
 QLD1 ,Project,Moonlight Range Wind Farm,Brookfield, Storage - Battery ,Other - Other,,1,,400,,400,400,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2465,Q00106,Jan-24,
 VIC1 ,Project,Moorabool BESS,Neoen Australia Pty Ltd, Storage - Battery ,Other - Other,MOORBESS,1, -   ,300, -   ,300,300,1200, Publicly Announced ,S,,2052,,Proposed, Battery Storage ,2398,,May-23,6/03/2024
 VIC1 ,Existing Plant,Moorabool Wind Farm,Moorabool Wind Farm Interface Company Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,MOORAWF1,104,3,3,312,312,312,, In Service ,SS,Jul-22,2044,,Existing less Announced Withdrawal, Wind ,1425,,Feb-24,28/02/2024
 NSW1 ,Project,Moorambilla Solar Farm,Moorambilla Solar Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1,5,5,5,5,5,, Publicly Announced ,NS,,,,Proposed, Solar ,1650,,,
 NSW1 ,Project,Moorebank Logistics Park Project,Energy Bay Fund Management, Storage - Battery ,Other - Other,,1,200,200,200,200,200,0, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2216,N00087,Sep-23,
 NSW1 ,Project,Moorebank Logistics Park Project,Energy Bay Fund Management, Solar PV - Fixed ,Solar - Solar,,60,2,2,120,120,120,, Publicly Announced ,TBA,,,,Proposed, Solar ,2216,N00087,Sep-23,
 QLD1 ,Existing Plant,Moranbah Generation Project,SUSTAINABLE ENERGY INFRASTRUCTURE , Reciprocating Engine - Compression ignition ,Fossil - Waste Coal Mine Gas,,8,,1.57,,12.56,12.56,, In Service ,NS,,,,Existing less Announced Withdrawal, Gas other ,1250,,Mar-22,18/03/2024
 QLD1 ,Existing Plant,Moranbah North,EDL Projects Australia Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Waste Coal Mine Gas,MBAHNTH,21,,3.04,,63.84,63.84,, In Service ,NS,,2038,,Existing less Announced Withdrawal, Gas other ,1136,,Apr-23,18/04/2023
 QLD1 ,Existing Plant,Moranbah Workers Solar,TBA, Solar PV - Fixed ,Solar - Solar,,1,,0.21,,0.21,0.21,, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,2092,,,
 NSW1 ,Project,Moree BESS,AE BESS 2 PTY LTD AS TRUSTEE FOR AE BESS 2 UNIT TRUST , Storage - Battery ,Other - Other,,1,120,120,120,120,120,480, Publicly Announced ,S,,,,Proposed, Battery Storage ,2574,N00135,Sep-23,21/09/2023
 NSW1 ,Existing Plant,Moree Solar Farm,Moree Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,MOREESF1,56,,1,,56,56,, In Service ,SS,,2046,,Existing less Announced Withdrawal, Solar ,1318,,Feb-24,23/02/2024
 VIC1 ,Project,Moreton Hill Wind Farm,Moreton Hill Wind Farm Nominees Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,1,380,380,380,380,380,, Publicly Announced ,SS,,,,Proposed, Wind ,2612,V00116,,
 SA1 ,Project,Morgan Battery,NEMMCO, Storage - Battery ,Other - Other,,1,30,30,30,30,30,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2417,,Jan-24,16/01/2024
 SA1 ,Project,Morgan Long Duration Energy Storage - KCI,Origin Energy, Storage - Battery ,Other - Other,,1,40,40,40,40,40,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2733,S00062,,
 SA1 ,Project,Morgan Solar,Green Gold, Solar PV - Fixed ,Solar - Solar,,1,108,108,108,108,108,, Publicly Announced ,SS,,,,Proposed, Solar ,2548,S00037,Sep-23,10/10/2023
 SA1 ,Existing Plant,Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,South Australian Water Corporation, Solar PV - Single axis tracking ,Solar - Solar,MWPS1PV1,2,,3.06,,6.12,6.12,, In Service ,SS,Aug-22,2031,,Existing less Announced Withdrawal, Solar ,1849,,Feb-24,18/03/2024
 SA1 ,Existing Plant,Morgan To Whyalla Pipeline No 2 PS,South Australian Water Corporation, Solar PV - Single axis tracking ,Solar - Solar,MWPS2PV1,2,,2.94,,5.88,5.88,, In Service ,SS,Jun-22,2041,,Existing less Announced Withdrawal, Solar ,1850,,Feb-24,18/03/2024
 SA1 ,Existing Plant,Morgan To Whyalla Pipeline No 3 PS,South Australian Water Corporation, Solar PV - Single axis tracking ,Solar - Solar,MWPS3PV1,3,,2.46,,7.38,7.38,, In Service ,SS,Jun-22,2045,,Existing less Announced Withdrawal, Solar ,1851,,Feb-24,18/03/2024
